name	chrom	start	end	score	strand	NMid	gene_name	genomic length	spliced seq length	samples	repeats	annotation	best transcript	gene symbol	circRNA study	mm9_name	mm39ID
mmu_circ_0002936	chr11	29372539	29380252	0	+	ENSMUST00000040182	Ccdc88a	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:29372539-29380252
mmu_circ_0002937	chr11	29411710	29420456	0	+	ENSMUST00000040182	Ccdc88a	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:29411710-29420456
mmu_circ_0002938	chr11	29411710	29427458	0	+	ENSMUST00000040182	Ccdc88a	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:29411710-29427458
mmu_circ_0002939	chr11	29411710	29436011	0	+	ENSMUST00000040182	Ccdc88a	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:29411710-29436011
mmu_circ_0002940	chr11	29415610	29439727	0	+	ENSMUST00000040182	Ccdc88a	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:29415610-29439727
mmu_circ_0002941	chr11	29420314	29427458	0	+	ENSMUST00000040182	Ccdc88a	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:29420314-29427458
mmu_circ_0002942	chr11	29420314	29439727	0	+	ENSMUST00000040182	Ccdc88a	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:29420314-29439727
mmu_circ_0002943	chr11	29420314	29449406	0	+	ENSMUST00000169616	Ccdc88a	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:29420314-29449406
mmu_circ_0002944	chr11	29432108	29448612	0	+	ENSMUST00000169616	Ccdc88a	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:29432108-29448612
mmu_circ_0002945	chr11	29483225	29485266	0	+	ENSMUST00000093239	Mtif2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:29483225-29485266
mmu_circ_0002946	chr11	29483225	29492509	0	+	ENSMUST00000093239	Mtif2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:29483225-29492509
mmu_circ_0002947	chr11	29483225	29495101	0	+	ENSMUST00000093239	Mtif2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:29483225-29495101
mmu_circ_0002948	chr11	29656409	29658770	0	+	ENSMUST00000102843	Rtn4	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:29656409-29658770
mmu_circ_0002949	chr11	29656409	29686498	0	+	ENSMUST00000102843	Rtn4	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:29656409-29686498
mmu_circ_0002950	chr11	29686379	29686498	0	+	ENSMUST00000102843	Rtn4	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:29686379-29686498
mmu_circ_0002951	chr11	29727002	29727445	0	-	ENSMUST00000058902	Eml6	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:29727002-29727445
mmu_circ_0002952	chr11	29727002	29735755	0	-	ENSMUST00000058902	Eml6	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:29727002-29735755
mmu_circ_0002953	chr11	29727002	29755814	0	-	ENSMUST00000058902	Eml6	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:29727002-29755814
mmu_circ_0002954	chr11	29727002	29759407	0	-	ENSMUST00000058902	Eml6	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:29727002-29759407
mmu_circ_0002955	chr11	29727002	29760167	0	-	ENSMUST00000058902	Eml6	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:29727002-29760167
mmu_circ_0002956	chr11	29734063	29735755	0	-	ENSMUST00000058902	Eml6	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:29734063-29735755
mmu_circ_0002957	chr11	29798814	29856331	0	-	ENSMUST00000058902	Eml6	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:29798814-29856331
mmu_circ_0002958	chr11	30067950	30068374	0	-	ENSMUST00000102838	Spnb2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:30067950-30068374
mmu_circ_0002959	chr11	30074932	30079618	0	-	ENSMUST00000102838	Spnb2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:30074932-30079618
mmu_circ_0002960	chr11	30086358	30086557	0	+	ENSMUST00000102838	Spnb2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:30086358-30086557
mmu_circ_0002961	chr11	30087311	30088501	0	-	ENSMUST00000102838	Spnb2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:30087311-30088501
mmu_circ_0002962	chr11	30087554	30088410	0	+	ENSMUST00000102838	Spnb2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:30087554-30088410
mmu_circ_0002963	chr11	30095832	30096834	0	+	ENSMUST00000102838	Spnb2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:30095832-30096834
mmu_circ_0002964	chr11	30169578	30169772	0	-	ENSMUST00000006629	Spnb2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:30169578-30169772
mmu_circ_0002965	chr11	3090136	3103498	0	-	ENSMUST00000081318	Sfi1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:3090136-3103498
mmu_circ_0002966	chr11	3114556	3143904	0	-	ENSMUST00000101649	Sfi1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:3114556-3143904
mmu_circ_0002967	chr11	30741091	30742038	0	+	ENSMUST00000041231	Psme4	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:30741091-30742038
mmu_circ_0002968	chr11	30754289	30789021	0	+	ENSMUST00000041231	Psme4	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:30754289-30789021
mmu_circ_0002969	chr11	30760782	30765708	0	+	ENSMUST00000041231	Psme4	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:30760782-30765708
mmu_circ_0002970	chr11	30760782	30780405	0	+	ENSMUST00000041231	Psme4	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:30760782-30780405
mmu_circ_0002971	chr11	30769003	30785467	0	+	ENSMUST00000041231	Psme4	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:30769003-30785467
mmu_circ_0002972	chr11	30787281	30787491	0	+	ENSMUST00000041231	Psme4	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:30787281-30787491
mmu_circ_0002973	chr11	30800602	30806115	0	+	ENSMUST00000041231	Psme4	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:30800602-30806115
mmu_circ_0002974	chr11	30884671	30885445	0	-	ENSMUST00000129593	Erlec1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:30884671-30885445
mmu_circ_0002975	chr11	30884671	30889621	0	-	ENSMUST00000129593	Erlec1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:30884671-30889621
mmu_circ_0002976	chr11	30948312	31011586	0	+	ENSMUST00000137306	Asb3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:30948312-31011586
mmu_circ_0002977	chr11	31005457	31011586	0	+	ENSMUST00000137306	Asb3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:31005457-31011586
mmu_circ_0002978	chr11	31880037	31881685	0	+	ENSMUST00000109412	Cpeb4	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:31880037-31881685
mmu_circ_0002979	chr11	32005012	32007520	0	+	ENSMUST00000020537	Nsg2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:32005012-32007520
mmu_circ_0002980	chr11	32005012	32007636	0	+	ENSMUST00000020537	Nsg2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:32005012-32007636
mmu_circ_0002981	chr11	32007490	32007636	0	+	ENSMUST00000020537	Nsg2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:32007490-32007636
mmu_circ_0002982	chr11	32200124	32213094	0	-	ENSMUST00000093212	Nprl3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:32200124-32213094
mmu_circ_0002983	chr11	32449224	32449461	0	+	ENSMUST00000051053	Ubtd2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:32449224-32449461
mmu_circ_0002984	chr11	32562670	32567962	0	+	ENSMUST00000102821	Stk10	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:32562670-32567962
mmu_circ_0002985	chr11	32602747	32661997	0	+	ENSMUST00000143290	Fbxw11	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:32602747-32661997
mmu_circ_0002986	chr11	32658187	32661997	0	+	ENSMUST00000076383	Fbxw11	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:32658187-32661997
mmu_circ_0002987	chr11	32661771	32661997	0	+	ENSMUST00000076383	Fbxw11	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:32661771-32661997
mmu_circ_0002988	chr11	32670471	32685387	0	+	ENSMUST00000076383	Fbxw11	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:32670471-32685387
mmu_circ_0002989	chr11	33214635	33268347	0	-	ENSMUST00000169831	Ranbp17	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:33214635-33268347
mmu_circ_0002990	chr11	33233907	33268347	0	-	ENSMUST00000169831	Ranbp17	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:33233907-33268347
mmu_circ_0002991	chr11	33749553	33751199	0	+	ENSMUST00000154760	Kcnip1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:33749553-33751199
mmu_circ_0002992	chr11	34351055	34354352	0	+	ENSMUST00000165963	Fam196b	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:34351055-34354352
mmu_circ_0002993	chr11	35125663	35132535	0	+	ENSMUST00000156571	Slit3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:35125663-35132535
mmu_circ_0002994	chr11	35171677	35172106	0	+	ENSMUST00000069837	Slit3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:35171677-35172106
mmu_circ_0002995	chr11	35399049	35461558	0	+	ENSMUST00000069837	Slit3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:35399049-35461558
mmu_circ_0002996	chr11	35501418	35503263	0	+	ENSMUST00000069837	Slit3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:35501418-35503263
mmu_circ_0002997	chr11	3595083	3595329	0	+	ENSMUST00000153313	Tug1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:3595083-3595329
mmu_circ_0002998	chr11	35666912	35669579	0	+	ENSMUST00000018990	Pank3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:35666912-35669579
mmu_circ_0002999	chr11	35666912	35674400	0	+	ENSMUST00000018990	Pank3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:35666912-35674400
mmu_circ_0003000	chr11	35707463	35707573	0	-	ENSMUST00000018992	Rars	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:35707463-35707573
mmu_circ_0003001	chr11	35715222	35718293	0	-	ENSMUST00000018992	Rars	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:35715222-35718293
mmu_circ_0003002	chr11	35750922	35758254	0	-	ENSMUST00000018993	Wwc1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:35750922-35758254
mmu_circ_0003003	chr11	35914130	35930769	0	-	ENSMUST00000102801	Odz2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:35914130-35930769
mmu_circ_0003004	chr11	35914503	35914611	0	+	ENSMUST00000102801	Odz2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:35914503-35914611
mmu_circ_0003005	chr11	35914869	35914994	0	+	ENSMUST00000102801	Odz2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:35914869-35914994
mmu_circ_0003006	chr11	36097731	36112357	0	-	ENSMUST00000102801	Odz2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:36097731-36112357
mmu_circ_0003007	chr11	36164057	36191257	0	-	ENSMUST00000102801	Odz2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:36164057-36191257
mmu_circ_0003008	chr11	36191022	36276155	0	-	ENSMUST00000102801	Odz2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:36191022-36276155
mmu_circ_0003009	chr11	3661693	3661869	0	-	ENSMUST00000070552	Osbp2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:3661693-3661869
mmu_circ_0003010	chr11	36201147	36201743	0	-	ENSMUST00000102801	Odz2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:36201147-36201743
mmu_circ_0003011	chr11	36228882	36229024	0	-	ENSMUST00000102801	Odz2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:36228882-36229024
mmu_circ_0003012	chr11	36263541	36276155	0	-	ENSMUST00000102801	Odz2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:36263541-36276155
mmu_circ_0003013	chr11	36275945	36276155	0	-	ENSMUST00000102801	Odz2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:36275945-36276155
mmu_circ_0003014	chr11	36397102	36397244	0	-	ENSMUST00000102801	Odz2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:36397102-36397244
mmu_circ_0003015	chr11	36523409	36523657	0	+	ENSMUST00000102801	Odz2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:36523409-36523657
mmu_circ_0003016	chr11	36556634	36559246	0	-	ENSMUST00000102801	Odz2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:36556634-36559246
mmu_circ_0003017	chr11	36648390	36648626	0	-	ENSMUST00000102801	Odz2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:36648390-36648626
mmu_circ_0003018	chr11	36735405	36736083	0	+	ENSMUST00000102801	Odz2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:36735405-36736083
mmu_circ_0003019	chr11	36754855	36755770	0	-	ENSMUST00000102801	Odz2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:36754855-36755770
mmu_circ_0003020	chr11	3723386	3723637	0	-	ENSMUST00000070552	Osbp2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:3723386-3723637
mmu_circ_0003021	chr11	37036354	37036467	0	-	ENSMUST00000102801	Odz2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:37036354-37036467
mmu_circ_0003022	chr11	3862674	3862785	0	+	ENSMUST00000109995	Slc35e4	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:3862674-3862785
mmu_circ_0003023	chr11	4058496	4061502	0	-	ENSMUST00000003681	Sec14l2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:4058496-4061502
mmu_circ_0003024	chr11	40605537	40612743	0	-	ENSMUST00000109303	Hmmr	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:40605537-40612743
mmu_circ_0003025	chr11	41858360	41859705	0	-	ENSMUST00000070725	Gabrg2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:41858360-41859705
mmu_circ_0003026	chr11	41858360	41867513	0	-	ENSMUST00000070725	Gabrg2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:41858360-41867513
mmu_circ_0003027	chr11	42482684	42488612	0	+	ENSMUST00000169077	Gabrb2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:42482684-42488612
mmu_circ_0003028	chr11	43328171	43330144	0	+	ENSMUST00000020681	Slu7	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:43328171-43330144
mmu_circ_0003029	chr11	43595360	43607976	0	+	ENSMUST00000094294	Pwwp2a	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:43595360-43607976
mmu_circ_0003030	chr11	4467740	4481305	0	-	ENSMUST00000093376	Mtmr3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:4467740-4481305
mmu_circ_0003031	chr11	4467740	4496268	0	-	ENSMUST00000040448	Mtmr3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:4467740-4496268
mmu_circ_0003032	chr11	4477835	4481305	0	-	ENSMUST00000093376	Mtmr3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:4477835-4481305
mmu_circ_0003033	chr11	44415754	44415876	0	+	ENSMUST00000101327	Rnf145	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:44415754-44415876
mmu_circ_0003034	chr11	44422102	44442646	0	+	ENSMUST00000019333	Rnf145	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:44422102-44442646
mmu_circ_0003035	chr11	44422102	44452648	0	+	ENSMUST00000019333	Rnf145	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:44422102-44452648
mmu_circ_0003036	chr11	44433511	44439793	0	-	ENSMUST00000101327	Rnf145	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:44433511-44439793
mmu_circ_0003037	chr11	44511240	44534296	0	+	ENSMUST00000135993	Ebf1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:44511240-44534296
mmu_circ_0003038	chr11	44523577	44534296	0	+	ENSMUST00000081265	Ebf1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:44523577-44534296
mmu_circ_0003039	chr11	44617863	44618997	0	-	ENSMUST00000081265	Ebf1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:44617863-44618997
mmu_circ_0003040	chr11	44759918	44815402	0	+	ENSMUST00000101326	Ebf1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:44759918-44815402
mmu_circ_0003041	chr11	4524302	4524429	0	+	ENSMUST00000093376	Mtmr3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:4524302-4524429
mmu_circ_0003042	chr11	4589706	4590328	0	-	ENSMUST00000109930	Ascc2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:4589706-4590328
mmu_circ_0003043	chr11	4590382	4599869	0	+	ENSMUST00000109930	Ascc2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:4590382-4599869
mmu_circ_0003044	chr11	4590382	4606336	0	+	ENSMUST00000109930	Ascc2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:4590382-4606336
mmu_circ_0003045	chr11	4596561	4599869	0	+	ENSMUST00000109930	Ascc2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:4596561-4599869
mmu_circ_0003046	chr11	4599739	4609384	0	+	ENSMUST00000109930	Ascc2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:4599739-4609384
mmu_circ_0003047	chr11	4608214	4609384	0	+	ENSMUST00000109930	Ascc2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:4608214-4609384
mmu_circ_0003048	chr11	4629251	4630182	0	+	ENSMUST00000109930	Ascc2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:4629251-4630182
mmu_circ_0003049	chr11	4629255	4630182	0	+	ENSMUST00000109930	Ascc2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:4629255-4630182
mmu_circ_0003050	chr11	46089817	46115032	0	-	ENSMUST00000093165	Cyfip2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:46089817-46115032
mmu_circ_0003051	chr11	46112162	46115032	0	-	ENSMUST00000093165	Cyfip2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:46112162-46115032
mmu_circ_0003052	chr11	46170876	46182411	0	+	ENSMUST00000093165	Cyfip2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:46170876-46182411
mmu_circ_0003053	chr11	4749860	4756336	0	-	ENSMUST00000109910	Nf2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:4749860-4756336
mmu_circ_0003054	chr11	4749860	4770493	0	-	ENSMUST00000109910	Nf2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:4749860-4770493
mmu_circ_0003055	chr11	4753677	4756336	0	-	ENSMUST00000109910	Nf2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:4753677-4756336
mmu_circ_0003056	chr11	4753677	4768627	0	-	ENSMUST00000124878	Nf2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:4753677-4768627
mmu_circ_0003057	chr11	4753677	4770493	0	-	ENSMUST00000109910	Nf2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:4753677-4770493
mmu_circ_0003058	chr11	4758256	4770493	0	-	ENSMUST00000109910	Nf2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:4758256-4770493
mmu_circ_0003059	chr11	4766081	4770493	0	-	ENSMUST00000109910	Nf2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:4766081-4770493
mmu_circ_0003060	chr11	47734908	47738363	0	+	ENSMUST00000128558	Sgcd	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:47734908-47738363
mmu_circ_0003061	chr11	4833367	4834116	0	+	ENSMUST00000038570	Nipsnap1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:4833367-4834116
mmu_circ_0003062	chr11	4849790	4855755	0	+	ENSMUST00000109903	Thoc5	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:4849790-4855755
mmu_circ_0003063	chr11	4889454	4889619	0	+	ENSMUST00000093369	Nefh	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:4889454-4889619
mmu_circ_0003064	chr11	48692489	48693247	0	+	ENSMUST00000139959	Gnb2l1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:48692489-48693247
mmu_circ_0003065	chr11	48693136	48694326	0	+	ENSMUST00000139959	Gnb2l1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:48693136-48694326
mmu_circ_0003066	chr11	49103521	49106217	0	+	ENSMUST00000157023	Zfp62	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:49103521-49106217
mmu_circ_0003067	chr11	49103521	49106625	0	+	ENSMUST00000157023	Zfp62	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:49103521-49106625
mmu_circ_0003068	chr11	49103521	49106772	0	+	ENSMUST00000157023	Zfp62	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:49103521-49106772
mmu_circ_0003069	chr11	49565956	49593481	0	-	ENSMUST00000145353	Cnot6	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:49565956-49593481
mmu_circ_0003070	chr11	49568126	49593481	0	-	ENSMUST00000145353	Cnot6	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:49568126-49593481
mmu_circ_0003071	chr11	49575913	49576179	0	-	ENSMUST00000109183	Cnot6	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:49575913-49576179
mmu_circ_0003072	chr11	5022811	5038146	0	-	ENSMUST00000079949	Ewsr1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:5022811-5038146
mmu_circ_0003073	chr11	49847860	49916474	0	+	ENSMUST00000063444	Rasgef1c	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:49847860-49916474
mmu_circ_0003074	chr11	49943602	49943797	0	+	ENSMUST00000102776	Rnf130	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:49943602-49943797
mmu_circ_0003075	chr11	49961997	49986807	0	+	ENSMUST00000102776	Rnf130	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:49961997-49986807
mmu_circ_0003076	chr11	49961997	49990166	0	+	ENSMUST00000102776	Rnf130	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:49961997-49990166
mmu_circ_0003077	chr11	49976567	49986807	0	+	ENSMUST00000102776	Rnf130	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:49976567-49986807
mmu_circ_0003078	chr11	49978205	50010772	0	+	ENSMUST00000102776	Rnf130	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:49978205-50010772
mmu_circ_0003079	chr11	50091472	50091578	0	-	ENSMUST00000015981	Sqstm1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:50091472-50091578
mmu_circ_0003080	chr11	50093792	50096912	0	-	ENSMUST00000154805	Sqstm1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:50093792-50096912
mmu_circ_0003081	chr11	50186575	50186688	0	-	ENSMUST00000020637	Canx	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:50186575-50186688
mmu_circ_0003082	chr11	50186818	50186976	0	-	ENSMUST00000020637	Canx	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:50186818-50186976
mmu_circ_0003083	chr11	50187884	50191881	0	-	ENSMUST00000020637	Canx	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:50187884-50191881
mmu_circ_0003084	chr11	50192584	50192698	0	-	ENSMUST00000020637	Canx	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:50192584-50192698
mmu_circ_0003085	chr11	50192584	50199756	0	-	ENSMUST00000020637	Canx	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:50192584-50199756
mmu_circ_0003086	chr11	50192584	50201694	0	-	ENSMUST00000020637	Canx	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:50192584-50201694
mmu_circ_0003087	chr11	50195152	50199756	0	-	ENSMUST00000020637	Canx	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:50195152-50199756
mmu_circ_0003088	chr11	50198296	50199756	0	-	ENSMUST00000020637	Canx	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:50198296-50199756
mmu_circ_0003089	chr11	50201661	50202547	0	-	ENSMUST00000020637	Canx	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:50201661-50202547
mmu_circ_0003090	chr11	50705753	50705892	0	+	ENSMUST00000109135	Zfp354c	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:50705753-50705892
mmu_circ_0003091	chr11	51162626	51164453	0	+	ENSMUST00000093132	Clk4	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:51162626-51164453
mmu_circ_0003092	chr11	51162794	51163995	0	+	ENSMUST00000093132	Clk4	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:51162794-51163995
mmu_circ_0003093	chr11	51482225	51484968	0	+	ENSMUST00000101250	Agxt2l2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:51482225-51484968
mmu_circ_0003094	chr11	51484430	51484968	0	+	ENSMUST00000101250	Agxt2l2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:51484430-51484968
mmu_circ_0003095	chr11	51489102	51490423	0	+	ENSMUST00000167797	Agxt2l2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:51489102-51490423
mmu_circ_0003096	chr11	51491523	51492072	0	-	ENSMUST00000074669	Hnrnpab	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:51491523-51492072
mmu_circ_0003097	chr11	51535254	51536115	0	+	ENSMUST00000001080	N4bp3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:51535254-51536115
mmu_circ_0003098	chr11	51607265	51622732	0	-	ENSMUST00000109097	Sec24a	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:51607265-51622732
mmu_circ_0003099	chr11	51612641	51620402	0	-	ENSMUST00000038210	Sec24a	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:51612641-51620402
mmu_circ_0003100	chr11	51612641	51620405	0	-	ENSMUST00000109097	Sec24a	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:51612641-51620405
mmu_circ_0003101	chr11	51612641	51622732	0	-	ENSMUST00000109097	Sec24a	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:51612641-51622732
mmu_circ_0003102	chr11	51612641	51627348	0	-	ENSMUST00000109097	Sec24a	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr11:51612641-51627348
